Year,Month,Cbs district,Name,Residential Area Type,Total Population,Gender Ratio,Total jobseekers,Academic,Unemployed job seekers,Estimated unemployed rate in city
2010,1,הצפון,יפיע,מועצה מקומית,6526,0.80474934,684,14,679,0.1048
2010,1,הצפון,יקנעם עילית,מועצה מקומית,10249,0.550724638,535,106,532,0.0522
2010,1,הצפון,ירכא,מועצה מקומית,4440,0.688976378,429,3,429,0.0966
2010,1,הצפון,כאבול,מועצה מקומית,4172,0.88592233,777,22,774,0.1862
2010,1,הצפון,כאוכב אבו אל-היג'א,יישוב כפרי,1427,0.575342466,230,5,230,0.1611
2010,1,הצפון,כסרא-סמיע,מועצה מקומית,2683,0.521472393,248,4,247,0.0924
2010,1,הצפון,כעביה-טבאש-חג'אג'רה,יישוב כפרי,1886,0.785714286,225,2,224,0.1193
2010,1,הצפון,כפר ורדים,מועצה מקומית,2900,0.705882353,58,26,58,0.02
2010,1,הצפון,כפר יאסיף,מועצה מקומית,4207,0.73046875,443,4,443,0.1053
2010,1,הצפון,כפר כמא,יישוב כפרי,1378,0.895833333,91,4,89,0.066
2010,1,הצפון,כפר כנא,מועצה מקומית,7373,0.748587571,1238,13,1223,0.1679
2010,1,הצפון,כפר מנדא,מועצה מקומית,5941,0.946902655,880,13,869,0.1481
2010,1,הצפון,כפר תבור,יישוב כפרי,1659,0.782608696,41,11,41,0.0247
2010,1,הצפון,כרמיאל,עיר,25204,0.617399439,1729,347,1684,0.0686
2010,1,הצפון,מגאר,מועצה מקומית,7395,0.697076023,1451,34,1448,0.1962
2010,1,הצפון,מג'ד אל-כרום,מועצה מקומית,5309,0.840848806,694,9,693,0.1307
2010,1,הצפון,מגדל העמק,מועצה מקומית,12745,0.728723404,975,93,952,0.0765
2010,1,הצפון,מג'דל שמס,מועצה מקומית,3933,0.589655172,461,21,456,0.1172
2010,1,הצפון,מזרעה,יישוב כפרי,1618,0.642201835,179,1,177,0.1106
2010,1,הצפון,מסעדה,יישוב כפרי,1441,0.573913043,181,3,180,0.1256
2010,1,הצפון,מעיליא,יישוב כפרי,1392,0.783783784,66,7,66,0.0474
2010,1,הצפון,מעלות-תרשיחא,מועצה מקומית,11465,0.707006369,1072,140,1066,0.0935
2010,1,הצפון,משהד,מועצה מקומית,2646,0.63681592,329,7,323,0.1243
2010,1,הצפון,נהרייה,עיר,27984,0.82788296,2124,251,2110,0.0759
2010,1,הצפון,נחף,מועצה מקומית,4085,0.732851986,480,10,478,0.1175
2010,1,הצפון,נצרת,עיר,28095,0.953261928,2006,42,1999,0.0714
2010,1,הצפון,נצרת עילית,עיר,23195,0.773173391,1626,254,1567,0.0701
2010,1,הצפון,סאג'ור,יישוב כפרי,1423,0.61971831,115,1,113,0.0808
2010,1,הצפון,סח'נין,מועצה מקומית,11450,0.842830882,2005,27,2005,0.1751
2010,1,הצפון,ע'ג'ר,יישוב כפרי,888,0.654320988,134,5,133,0.1508
2010,1,הצפון,עיילבון,מועצה מקומית,2151,0.74137931,202,9,200,0.0939
2010,1,הצפון,עילוט,מועצה מקומית,2313,0.768817204,329,2,329,0.1422
2010,1,הצפון,עין מאהל,מועצה מקומית,4167,1.146666667,483,1,478,0.1159
2010,1,הצפון,עכו,עיר,24398,0.823943662,3367,147,3345,0.138
2010,1,הצפון,עפולה,עיר,22331,0.776089159,1753,216,1704,0.0785
2010,1,הצפון,עראבה,מועצה מקומית,8057,0.763157895,1340,31,1339,0.1663
2010,1,הצפון,פסוטה,יישוב כפרי,1498,0.810126582,143,8,143,0.0954
