סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
82        ,עין חרוד )מאוחד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,913       ,50        ,161       ,318       ,99        ,83        ,202
84        ,תל יוסף                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,553       ,43        ,136       ,174       ,56        ,37        ,107
85        ,כפר יחזקאל               ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1113      ,112       ,293       ,383       ,121       ,68        ,136
86        ,גבע                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,729       ,55        ,122       ,250       ,89        ,75        ,138
88        ,כרם בן שמן               ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,89        ,14        ,17        ,27        ,4         ,8         ,19
89        ,עין חרוד )איחוד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,748       ,55        ,125       ,240       ,92        ,59        ,177
90        ,חפצי-בה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,850       ,70        ,175       ,277       ,92        ,70        ,166
92        ,גיניגר                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,804       ,66        ,157       ,268       ,89        ,85        ,139
94        ,בלפוריה                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,571       ,55        ,126       ,209       ,63        ,38        ,80
95        ,בית אלפא                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,943       ,66        ,159       ,327       ,92        ,72        ,227
96        ,יגור                     ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1835      ,147       ,305       ,716       ,210       ,127       ,330
97        ,מרחביה )מושב(            ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,764       ,46        ,168       ,261       ,100       ,81        ,108
98        ,כפר מל"ל                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,392       ,35        ,62        ,128       ,52        ,34        ,81
99        ,מצפה רמון                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,5603      ,606       ,1200      ,2195      ,542       ,432       ,628
102       ,מאיר שפיה                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,147       ,9         ,32        ,54        ,11        ,22        ,19
103       ,תל עדשים                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1311      ,101       ,377       ,428       ,197       ,103       ,105
104       ,מזרע                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,935       ,84        ,142       ,298       ,100       ,99        ,212
106       ,כפר גדעון                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,322       ,41        ,103       ,108       ,16        ,18        ,36
107       ,כפר סילבר                ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,141       ,15        ,25        ,67        ,15        ,13        ,6
112       ,כפר חסידים א'            ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,788       ,85        ,184       ,247       ,81        ,62        ,129
113       ,אדירים                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,333       ,29        ,77        ,112       ,47        ,28        ,40
115       ,חופית                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,969       ,46        ,191       ,286       ,156       ,85        ,205
122       ,רמת ישי                  ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,7869      ,601       ,1608      ,2814      ,934       ,859       ,1053
