employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"צ.ד.פ. שירותי הדראוליקה בע""מ",511795635,,טבריה,המשור 20,16/07/2024,תעשייה,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",579/2/2024,54,1,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
איקס מיקס שליחויות ,,,תל אביב -יפו,בית אל 20,13/08/2017,היסעים והובלות,21168,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",329/2017,9,1,כן. הבקשה נדחתה,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%,,,,,
"צ.ד.פ. שירותי הדראוליקה בע""מ",511795635,,טבריה,המשור 20,16/07/2024,תעשייה,19885,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",579/2/2024,54,1,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
מאפיית תפארת ,,,גני תקווה,דרך המלך 13,20/12/2017,מסעדות,21168,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",2052/2017,3,1,כן. הבקשה נדחתה,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%,,,,,
אוברסיז מדיקל אדוקיישן,,,תל אביב -יפו,יגאל אלון 123,19/12/2017,חינוך,35280,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1822/2017,1,1,כן. הבקשה נדחתה,לא,לא קיים,,,,,
אפ מחשבים,,,בני ברק,רבי עקיבא 80,19/05/2024,"תקשורת, הנדסה ומחשוב",79540,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",394/2024,1,1,לא,לא,לא קיים,,,,,
"ת.ש ישראל דיפנס בע""מ ",512291758,,כפר סבא,הטחנה 1,06/05/2024,"שרותים מקצועיים, טכניים ואישיים",159080,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1245/2023,5,4,לא,לא,לא קיים,,,,,
"קרווין מדיסניס ישראל בע""מ ",516543410,,תל אביב -יפו,ברקוביץ 4,06/05/2024,מסחר,119310,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",417/2024,1,1,לא,לא,לא קיים,,,,,
"אטלס לטא טכנולוגיה מתקדמת בע""מ ",515414191,,ראש העין,המלאכה 20,01/04/2024,תעשייה,477240,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1013/2023,17,4,לא,לא,לא קיים,,,,,
"צהרוניות אם המושבות בע""מ ",514316231,,פתח תקווה,קפלנסקי 53,09/07/2024,חינוך,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1233/2023,614,10,לא,לא,לא קיים,,,,,
"צהרוניות אם המושבות בע""מ ",514316231,,פתח תקווה,קפלנסקי 53,09/07/2024,חינוך,21874,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1233.2023,614,10,לא,לא,לא קיים,,,,,
"מתן שליחויות (2008) בע""מ ",514179894,,תל אביב -יפו,גולומב 64,21/05/2024,היסעים והובלות,4544,תלונה,"חוק שעות עבודה ומנוחה, תשמ""ז-1987. סעיף 25, אי ניהול פנקס בדבר שעות עבודה ומנוחה",14021/2014,1,1,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"מתן שליחויות (2008) בע""מ",514179894,,תל אביב -יפו,גולומב 64,21/05/2024,היסעים והובלות,18184,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 24(ב), מעסיק אשר מסר לעובדו תלוש שכר שלא נכללים בו פרטי השכר ששולם לעובד, כולם או חלקם",14022/2014,1,1,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"עבדאללה פאדי לחקלאות בע""מ ",514856764,,כפר מנדא,כפר מנדא,26/06/2024,חקלאות,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",2068/2019,8,4,כן. הבקשה נדחתה,כן. הבקשה התקבלה חלקית,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"קידום הפקות ייזום ייעוץ ושיווק בע""מ ",513615930,,קרני שומרון,הקוממיות 41,30/06/2024,מסחר,,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",891/2019,50,5,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"א.מ.ה ברכת טוב הארץ (2014) בע""מ ",515157972,,תל אביב -יפו,בית צורי אליהו 11,12/03/2024,מסחר,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1452/2023,15,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"פאוור מרק בע""מ ",516008356,,רמת גן,ז'בוטינסקי 33,16/08/2023,"קבלני כ""א",19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",2013/2022,100,10,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"ליאור כספי חברת עורכי דין בע""מ ",513290452,,תל אביב -יפו,המסגר 5,24/06/2024,"שרותים מקצועיים, טכניים ואישיים",39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1290/2023,6,3,לא,לא,לא קיים,,,,,
"פת שטינבך מאפייה חשמלית בע""מ ",515708899,,חיפה,דרך יפו 28,26/02/2024,תעשייה,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",12632023,14,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"אגרטון ס.ד בע""מ ",515871267,,בני ברק,בר כוכבא 16,10/03/2024,בניין,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1234/2023,12,5,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
