employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"נאו גרופ  בע""מ ",513114140,"<a title=""21-1279-3-2018.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1279-3-2018.pdf""> 21-1279-3-2018.pdf </a>",תל אביב - יפו,בן שטח שמעון 9,18/08/2020,מקצועות חופשיים,"21,546",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"י. אבי- אל עבודות מתכת בע""מ ",513033589,"<a title=""19-1618-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-1618-2019.pdf""> 19-1618-2019.pdf </a>",תל אביב - יפו,כביר 8,17/08/2020,תעשיות מתכת,"64,638",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"לייטסאפ בע""מ",515445088,"<a title=""21-2406-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2406-2-2019.pdf""> 21-2406-2-2019.pdf </a>",נצרת,היונה 5,11/08/2020,"תקשורת, הנדסה ומחשוב","107,730",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
גן ילדים מקום שבלב ,,"<a title=""21-201-2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-201-2020.pdf""> 21-201-2020.pdf </a>",כפר סבא,קרל נטר 6,06/08/2020,חינוך,"71,820",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אניפט בע""מ",514207125,"<a title=""8152019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/8152019.pdf""> 8152019.pdf </a>",,גרניט צור יגאל 15,04/08/2020,מסחר,"35,910",יזום,"חוק שעות עבודה ומנוחה תשי""א-1951",,,,,,,,,,,
"קורנגה בע""מ",513952382,"<a title=""21-1570-2018.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1570-2018.pdf""> 21-1570-2018.pdf </a>",תל אביב - יפו,יגאל אלון 127,04/08/2020,"תקשורת, הנדסה ומחשוב",,יזום,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"המלך קינג גורג א.י. בע""מ",514903699,"<a title=""19-1992-3-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-1992-3-2019.pdf""> 19-1992-3-2019.pdf </a>",תל אביב - יפו,המלך ג'ורג' 50,30/07/2020,מסעדות,"18,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"רפי לוי לידו - אילת בע""מ",511259947,"<a title=""1865.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1865.4.2019.pdf""> 1865.4.2019.pdf </a>",,דרך יותם 13 אילת,29/07/2020,מסעדות,"71,820",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"פירות וירקות אחים חג'אזי בע""מ",513990606,"<a title=""21-2556-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2556-2-2019.pdf""> 21-2556-2-2019.pdf </a>",טמרה,,28/07/2020,מסחר,"71,820",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"פרינס אקססורז בע""מ ",513355644,"<a title=""21-1350-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1350-2019.pdf""> 21-1350-2019.pdf </a>",ראשון לציון,לוי משה 14,27/07/2020,מסחר,"107,730",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סול פוד בע""מ",514802146,"<a title=""17212019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17212019.pdf""> 17212019.pdf </a>",,"דרך חברון, ירושלים 28",26/07/2020,מקצועות חופשיים,,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"שניצל בר. י.ק בע""מ ",515944007,"<a title=""19-1983-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-1983-2019.pdf""> 19-1983-2019.pdf </a>",אור יהודה,המסגר 8,23/07/2020,מסעדות,"35,700",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
הבורגנים סניף ישפרו מודיעין ,,"<a title=""17462019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17462019.pdf""> 17462019.pdf </a>",,"שדרות מלאכות, מודיעין 121",21/07/2020,מסעדות,,פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"א.ד.ר. אוורסט בע""מ ",514685908,"<a title=""21-148-3-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-148-3-2019.pdf""> 21-148-3-2019.pdf </a>",ראש העין,המרץ 13,19/07/2020,אולמות אירועים/שרותי קיטרינג,"107,730",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אלון גינון ופיתוח בע""מ",515436467,"<a title=""21-898-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-898-2-2019.pdf""> 21-898-2-2019.pdf </a>",מנחמיה,החקלאים 34,16/07/2020,אחר,"64,638",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
רוזנפלד מרכז שירותי רכב בנצרת עילית בע''מ,510745672,"<a title=""33-1795-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/33-1795-2-2019.pdf""> 33-1795-2-2019.pdf </a>",נצרת עילית,מעלה יצחק 11,15/07/2020,תחנות דלק ושרותי רכב,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"ג'קסי שיווק בע""מ",512775933,,הזורע,הזורע,13/03/2024,מסחר,"21,873",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1055/2019,10,4,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%;תקנה 1(א)(5) - נסיבות אישיות חריגות למעביד יחיד המעסיק פחות מ-10 עובדים- 25%,,,,,
"לנטק - עבוד שבבי בע""מ",511855967,"<a title=""1446.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1446.4.2019.pdf""> 1446.4.2019.pdf </a>",,הקישון 6 יבנה,13/07/2020,"אלקטרוניקה, תקשורת ותוכנה","28,728",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
לידור מנופאים,,"<a title=""164.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/164.4.2019.pdf""> 164.4.2019.pdf </a>",,מושב רנן,13/07/2020,תחנות דלק ושרותי רכב,"17,955",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"עזרה וחסד הצרכניה בע""מ",515682995,"<a title=""23672019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/23672019.pdf""> 23672019.pdf </a>",,"הרב הרצוג, בית שמש 4",13/07/2020,מכירה קמעונאית,,יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אולדרן השקעות בע""מ",515696532,"<a title=""21-892-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-892-2019.pdf""> 21-892-2019.pdf </a>",תל אביב - יפו,אלון יגאל 94,12/07/2020,שרותים אחרים,"17,955",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"פרוטרי שיווק בע""מ",511843658,"<a title=""1008.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1008.4.2019.pdf""> 1008.4.2019.pdf </a>",,"בית 25, אזור התעשייה כנות",08/07/2020,תעשיות מזון,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"פרוטרי שיווק בע""מ",511843658,"<a title=""1008.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1008.4.2019.pdf""> 1008.4.2019.pdf </a>",,"בית 25, אזור התעשייה כנות",08/07/2020,תעשיות מזון,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"קומברט בע""מ",515842318,"<a title=""350.2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/350.2020.pdf""> 350.2020.pdf </a>",,יגאל אלון 94,07/07/2020,"אלקטרוניקה, תקשורת ותוכנה","143,640",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"קונדיטורית מטאו בע""מ",514399716,"<a title=""21-2447-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2447-2019.pdf""> 21-2447-2019.pdf </a>",פתח תקווה,ז'בוטינסקי 102,06/07/2020,תעשיות מזון,"143,640",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ולס ייצור ושיווק מזון בע""מ",513905562,"<a title=""1447.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1447.4.2019.pdf""> 1447.4.2019.pdf </a>",,"המסגר 15, אופקים",06/07/2020,תעשיות מזון,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
דפוס אלהודא,,"<a title=""12362019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/12362019.pdf""> 12362019.pdf </a>",,באקה אל גרביה,05/07/2020,בית דפוס,"35,910",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"ע.פ אנטר יזמות בע""מ",513703496,"<a title=""19732019-21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19732019-21.pdf""> 19732019-21.pdf </a>",,"המשביר, חולון 1",05/07/2020,מסחר,"35,910",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ע.פ אנטר יזמות בע""מ",513703496,"<a title=""19732019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19732019.pdf""> 19732019.pdf </a>",,"המשביר, חולון 1",05/07/2020,מסחר,"35,910",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"באקלס בע""מ",514607571,"<a title=""18502019-33.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18502019-33.pdf""> 18502019-33.pdf </a>",,"ילדי טארן, ראשון לציון 3",05/07/2020,מסחר,"107,730",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"באקלס בע""מ",514607571,"<a title=""18502019-21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18502019-21.pdf""> 18502019-21.pdf </a>",,"ילדי טארן, ראשון לציון 3",05/07/2020,מסחר,"107,730",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"באקלס בע""מ",514607571,"<a title=""18502019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18502019.pdf""> 18502019.pdf </a>",,"ילדי טארן, ראשון לציון 3",05/07/2020,מסחר,"35,910",יזום,"חוק שעות עבודה ומנוחה תשי""א-1951",,,,,,,,,,,
א.סטאר סנטר בע''מ,514073675,"<a title=""1313-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1313-2-2019.pdf""> 1313-2-2019.pdf </a>",ערערה,כביש ראשי,05/07/2020,מסחר,"19,151",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
איט אירועים בע''מ,513594820,"<a title=""1276-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1276-2-2019.pdf""> 1276-2-2019.pdf </a>",היוגב,,05/07/2020,שרותי אוכל,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"רחובות של חסד בע""מ",515549228,"<a title=""840.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/840.4.2019.pdf""> 840.4.2019.pdf </a>",,"ההגנה 33, רחובות",01/07/2020,מסחר,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מכבסת הדר טבריה,,"<a title=""952-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/952-2-2019.pdf""> 952-2-2019.pdf </a>",בית קשת,,30/06/2020,שרותי כביסה וגיהוץ,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
א.א. פירת בע''מ,514621507,"<a title=""21-420-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-420-2-2019.pdf""> 21-420-2-2019.pdf </a>",תל אביב - יפו,"הנצי""ב 39",29/06/2020,מסחר,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
אור וישועה (ע''ר),580302479,"<a title=""1212-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1212-2-2019.pdf""> 1212-2-2019.pdf </a>",חיפה,חניתה 96,29/06/2020,חינוך,"57,456",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"בי.סי.מ נטוורקס בע""מ",515008415,"<a title=""21-380-2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-380-2020.pdf""> 21-380-2020.pdf </a>",רמת גן,דב 4,28/06/2020,שרותים אחרים,"35,910",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אל אס אביר שיווק והפצה בע""מ ",515433811,"<a title=""21-1777-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1777-2019.pdf""> 21-1777-2019.pdf </a>",פתח תקווה,עין גדי 3,24/06/2020,מסחר,"35,910",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
משתלת שלומית ,,"<a title=""1536-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1536-2-2019.pdf""> 1536-2-2019.pdf </a>",כפר ביאליק,החקלאים 15,24/06/2020,מסחר,"28,728",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"אמנות למען השלום (ע""ר)",580232239,"<a title=""937-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/937-2-2019.pdf""> 937-2-2019.pdf </a>",סח'נין,דוחא 15,24/06/2020,שרותים אחרים,"17,955",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"קבוצת ממן אילת בע""מ",511150948,"<a title=""546.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/546.4.2019.pdf""> 546.4.2019.pdf </a>",,"זעת אפיך 73, אילת ",23/06/2020,שיווק,"28,728",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ח. מרעי הנדסה בע''מ,514983436,"<a title=""19-2500-2-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-2500-2-2017.pdf""> 19-2500-2-2017.pdf </a>",משהד,,23/06/2020,בניין,,יזום,"חוק שכר מינימום תשמ""ז-1987",הפחתה בשל מחזור עסקאות,,,,,,,,,,
קומפטואר קפה מסעדה בע''מ,515511467,"<a title=""21-1957-2-2018.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1957-2-2018.pdf""> 21-1957-2-2018.pdf </a>",עכו,העיר העתיקה 11,21/06/2020,מסעדות,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מכירה והשכרה של מכונות צילום,,"<a title=""21-1122-3-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1122-3-2019.pdf""> 21-1122-3-2019.pdf </a>",ראשון לציון,"הרשב""א 10",17/06/2020,"שרותים מקצועיים, טכניים ואישיים",,יזום,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"תגובה ואבטחה בע""מ",514187483,"<a title=""1050.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1050.4.2019.pdf""> 1050.4.2019.pdf </a>",,"שד התמרים 21, אילת",17/06/2020,קבלני שירותים (שמירה אבטחה וניקיון),,פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סנטוס קפה בע""מ ",513316745,"<a title=""21-168-2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-168-2020.pdf""> 21-168-2020.pdf </a>",תל אביב - יפו,ראול ולנברג 20,16/06/2020,מסעדות,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אשדוד מתרחבת בע""מ",514984830,"<a title=""75.4.2019. 21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/75.4.2019. 21.pdf""> 75.4.2019. 21.pdf </a>",,"האורגים 25 , אשדוד",15/06/2020,שרותים אחרים,"35,910",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אשדוד מתרחבת בע""מ",514984830,"<a title=""75.4.2019. 15.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/75.4.2019. 15.pdf""> 75.4.2019. 15.pdf </a>",,"האורגים 25 , אשדוד",15/06/2020,שרותים אחרים,"35,910",פנייה,"חוק עבודת נשים תשי""ד-1954",,,,,,,,,,,
רוזנבאום שירותי רכב,,"<a title=""1395.4.2019.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1395.4.2019.21.pdf""> 1395.4.2019.21.pdf </a>",,"בית 62, מושב משען",14/06/2020,תחנות דלק ושרותי רכב,"35,910",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
רוזנבאום שירותי רכב,,"<a title=""1395.4.2019.19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1395.4.2019.19.pdf""> 1395.4.2019.19.pdf </a>",,"בית 62, מושב משען",14/06/2020,תחנות דלק ושרותי רכב,"107,730",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"ישראל דרגנר עבודות אלומניום בע""מ",515659324,"<a title=""15642019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15642019.pdf""> 15642019.pdf </a>",,"בן איש חי, בית שמש 38",14/06/2020,בניין,,יזום,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"בטון המחלף - ייצור בטון בע""מ",514329044,"<a title=""21-2514-3-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2514-3-2019.pdf""> 21-2514-3-2019.pdf </a>",כפר קאסם,בדר 21,11/06/2020,בניין,"71,400",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
עמותת חינוך ומסורה,580540599,"<a title=""1977.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1977.2019.pdf""> 1977.2019.pdf </a>",,רוטשילד 85,11/06/2020,חינוך,"825,930",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"פאיז חלבי לבניה בע""מ",513933440,"<a title=""1288.2.2019.33.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1288.2.2019.33.pdf""> 1288.2.2019.33.pdf </a>",,ת.ד 300 מגדל גמס,10/06/2020,בניין,"323,190",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"פאיז חלבי לבניה בע""מ",513933440,"<a title=""1288.2.2019.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1288.2.2019.21.pdf""> 1288.2.2019.21.pdf </a>",,ת.ד 300 מגדל גמס,10/06/2020,בניין,"215,460",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סאפי שירותי חשמל בע""מ",515737690,"<a title=""1061.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1061.4.2019.pdf""> 1061.4.2019.pdf </a>",,איינשטיין 24 באר שבע,10/06/2020,שרותים אחרים,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
נגריית גרר,558209110,"<a title=""1575.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1575.4.2019.pdf""> 1575.4.2019.pdf </a>",,"הקנאים 40, ערד",10/06/2020,תעשיית עץ,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ליידי קומפורט,,"<a title=""460.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/460.4.2019.pdf""> 460.4.2019.pdf </a>",,"קניון מול הים, אילת",09/06/2020,שיווק,"35,910",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
אולמי פנינת הגליל,,"<a title=""1683.4.2019 . 25א.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1683.4.2019 . 25א.pdf""> 1683.4.2019 . 25א.pdf </a>",,"מנחם בגין 724, חצור הגלילית ",09/06/2020,אולמות אירועים/שרותי קיטרינג,"107,730",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
אולמי פנינת הגליל,,"<a title=""1683.4.2019 . 31.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1683.4.2019 . 31.pdf""> 1683.4.2019 . 31.pdf </a>",,"מנחם בגין 724, חצור הגלילית ",09/06/2020,אולמות אירועים/שרותי קיטרינג,"30,780",יזום,"חוק עבודת הנוער תשי""ג-1953",,,,,,,,,,,
מרכז רוחני אוצר התלמוד,580237014,"<a title=""15672019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15672019.pdf""> 15672019.pdf </a>",,"רוזנבלט, ירושלים 21",08/06/2020,עמותות,"107,730",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"י.ד.ר הנדסה בע""מ",512587692,"<a title=""21-2145-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2145-2019.pdf""> 21-2145-2019.pdf </a>",תל אביב - יפו,דרך בגין 128,08/06/2020,בניין,"107,100",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ציפורה אור יזמות ושיווק בע""מ",514738988,"<a title=""21-174-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-174-2019.pdf""> 21-174-2019.pdf </a>",פתח תקווה,דרך יצחק רבין 17,08/06/2020,מסעדות,"214,200",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"זח עבודות חשמל בע""מ",515521508,"<a title=""2046.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2046.4.2019.pdf""> 2046.4.2019.pdf </a>",,ת.ד 537 אילת,08/06/2020,שרותים אחרים,"251,370",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
ברזל מעיליא בע''מ,511459463,"<a title=""21-1643-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1643-2-2019.pdf""> 21-1643-2-2019.pdf </a>",מעיליא,,07/06/2020,מכירה קמעונאית,"17,955",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"נטורל קייקס בע""מ",513454926,"<a title=""1572.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1572.4.2019.pdf""> 1572.4.2019.pdf </a>",,"ת.ד. 4131, פתח-תקווה",07/06/2020,מסחר,"107,730",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אורן עמית פיקוח וניהול פרויקטים בע""מ",515213361,"<a title=""21-878-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-878-2019.pdf""> 21-878-2019.pdf </a>",גבעתיים,תפוצות ישראל 6,04/06/2020,שרותים אחרים,,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"מוסך האחים עמרור (1992) בע""מ",511691537,"<a title=""21-1476-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1476-2019.pdf""> 21-1476-2019.pdf </a>",טייבה,טייבה 0,04/06/2020,תחנות דלק ושרותי רכב,"321,300",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"א. מ. גרינאוי בנגב בע""מ",513760611,"<a title=""115.4.2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/115.4.2019.pdf""> 115.4.2019.pdf </a>",,שכונה 18 בית 28 רהט,03/06/2020,מקצועות חופשיים,"104,093",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"יוני וילונות בע""מ",514096148,"<a title=""123.4.2019  19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/123.4.2019  19.pdf""> 123.4.2019  19.pdf </a>",,חוצות היוצר 31 אשקלון,03/06/2020,מסחר,"19,750",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"יוני וילונות בע""מ",514096148,"<a title=""123.4.2019  25.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/123.4.2019  25.pdf""> 123.4.2019  25.pdf </a>",,חוצות היוצר 31 אשקלון,03/06/2020,מסחר,"28,728",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"עגשיו יזמות והשקעות בע""מ",515933570,"<a title=""19-173-2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-173-2020.pdf""> 19-173-2020.pdf </a>",ירושלים,גנרל קינג 28,02/06/2020,מסעדות,"35,910",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
בזק א.ד.ע. בע''מ,512842519,"<a title=""1117-2-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1117-2-2019.pdf""> 1117-2-2019.pdf </a>",נהריה,הרצל 26,01/06/2020,שרותי כביסה וגיהוץ,"28,728",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
קפה קפה נס ציונה,,"<a title=""19-21-2362-2018.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-21-2362-2018.pdf""> 19-21-2362-2018.pdf </a>",נס ציונה,השריון 1,31/05/2020,מסעדות,,פנייה,"חוק הגנת השכר תשי""ח-1958,חוק שכר מינימום תשמ""ז-1987",מחזור עסקאות,,,,,,,,,,
"ע. עקפה הובלה בקירור בע""מ",514848522,"<a title=""21-766-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-766-2019.pdf""> 21-766-2019.pdf </a>",טירה,טירה 0,24/05/2020,היסעים והובלות,"107,730",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
